topic,business_id,business_name,cluster_sentiment,generated_kp,aspects_terms,coverage,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131
Beauty & Spas,nq0WaqJXa2SUcRDeailIig,Deluxe Nails & Spa,positive,Attentive and accommodating owner.,"['manager', 'owner', 'proprietor']",10,"Manager was kind enough to let me come back to ""make it right"".","I mentioned it to the manager, who told me it was an easy fix and buffed the ends for a few seconds.","The owner was nice who checked me in and out, but the whole experience was awkward.",The owner truly cares about his clientelle!,"The owner convinced me to do SNS powder, and that the color would match my toes perfectly, so I decided to spend the extra money to have it supposedly ""look better and last longer"".",The owner is very attentive and kind.,The owner is super friendly and ensures that each guest enjoys his or her experience!,Tyler the owner does a great job running the place.,Genuine owner who strives to think of everything for his customers.," The proprietor, Tyler, was very accommodating  even though i arrived very close to closing time.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beauty & Spas,nq0WaqJXa2SUcRDeailIig,Deluxe Nails & Spa,positive,Excellent gel manicure experience.,"['gel shellac', 'gel manicure', 'gel polish', 'gel color selection', 'gel color', 'eyebrow wax', 'sns dip powder']",10,Gave it a second chance and got gel shellac.,"I went with a gel manicure, which turned out great.",My gel manicure was the best I've had in a long time. (,"

I got a gel manicure and pedicure and loved the outcome.",They have the largest gel polish section I have seen anywhere.,I am studying abroad and was really excited to come in to the salon and get gel polish so that I wouldn't have to worry about my nails for the first few weeks of my trip.," So many gel color selections, the best customer service, and the quality is amazing!","I got a regular pedicure which turned out fine, and had picked out the matching gel color for my nails.","I've gotten pedicures, manicures, massages and eyebrow waxes here and they were all fantastic.","

They have the best SNS dip powder experience- my nails never chip, and can last for 3 weeks every time.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beauty & Spas,nq0WaqJXa2SUcRDeailIig,Deluxe Nails & Spa,positive,"Excellent service from Tyler, Tommy, and Johnny.","['tyler', 'tommy', 'johnny']",8,"
Tyler was spectacular.", Tyler is the best!,Tyler is very sweet and was helping the new staff all along the way.,Tyler did an amazing job!!,"Relaxation Nail & Spa"" is my new spot, and should be yours,  you will not be disappointed quite nice and Heidi my favorite is there, along with Tyler.",Tommy does just as well and is extremely patient with picky costumers like me.,Tommy is the best!,Johnny was absolutely wonderful!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beauty & Spas,nq0WaqJXa2SUcRDeailIig,Deluxe Nails & Spa,positive,No comments provided,"['granddaughter', 'mother', 'friend', 'relax', 'menu']",8,The princess pedicure was a big hit with my six year old granddaughter and my 75 year old mother loved her first pedicure too!,My mom and I went to get mani-pedis to celebrate my birthday and mother's day.,It made me start to cry and she still went on saying the same things and eventually after my mother had to step in and say that I just want them off she took them off.,She's become a good friend and I love coming to see her - she's always eager to do the best job she can do and help you get the nails you want.,"Super relaxing, awesome place.", The place is very clean and relaxing.,"They also provide other spa services such as facials and Waxing... They give you a menu of all their services which is nice because I don't know how many times I have gone to a place and not know what all you could have done and the cost of each service... AND, if you pay cash you get a discount!!!","The place is so clean, everyone is super friendly, and has an awesome menu of services!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beauty & Spas,nq0WaqJXa2SUcRDeailIig,Deluxe Nails & Spa,positive,Skilled and knowledgeable nail techs.,"['nail tech', 'polish', 'organic sns nail', 'nail option', 'nail work']",8,The nail techs Are all very talented and knowledgable and love to use there talents to be creative in doing new trends and making your nails unique... I have had so many compliments on my nails since I started using them.,My nail tech was sweet but I overpaid for the services I received.,I followed my nail tech Tina here from another salon and I'm so glad I did!,I refuse to go anywhere else because the nail techs know what they're doing.,They have a frequent shopper coupon and they also have one of the largest selections of polishes around.,Love my pedicure and organic SNS nails!,"The staff are super friendly, and think of the small things that keep it awesome for clients...purse holders under mani stations, nail polish is numbered for immediate match to gel...they have screens displaying different nail options and a full bar."," They are clean, courteous and provide fabulous nail work...especially my girl Kelly!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beauty & Spas,nq0WaqJXa2SUcRDeailIig,Deluxe Nails & Spa,positive,Make an appointment ahead of time.,"['appointment', 'recommendation']",6,"I was on my way when I called to make an appointment, they were able to seat me and get my nails going right away!",I also loved when people came in during busy time they told them it would be about 30 min and tried to get them to get an appointment for a little later vs what most do and say yes and leave you waiting forever.,Do not go here unless you have an appointment or expect to wait MUCH longer than what they quote you.,You owe yourself an appointment here.,"

You need to check in at their tablet when you arrive, and I suggest making an appointment ahead of time."," I came at the recommendation of a friend, and I have multiple coworkers who come here regularly.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beauty & Spas,nq0WaqJXa2SUcRDeailIig,Deluxe Nails & Spa,positive,Convenient location for shopping.,"['location', 'facility', 'vacation']",4,Convenient location at the side of a shopping complex.,"
The location is convenient.",Very nice facility and people.,We are vacation ready now!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beauty & Spas,nq0WaqJXa2SUcRDeailIig,Deluxe Nails & Spa,positive,Excellent job done.,['job'],4,They were efficient and did an excellent job.,They did an excellent job!, Not only is he really good at job but he is always friendly & makes it the best experience he can.,He is very friendly and does a fantastic job.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beauty & Spas,nq0WaqJXa2SUcRDeailIig,Deluxe Nails & Spa,positive,Excellent work and great experience with Tyler and his team.,['team'],4,I love Tyler and his team.,Tyler you and your team our fantastic.,Tyler and his team go above and beyond to make sure you have a good experience and their work is excellent.,Thank you again to Tyler and the team!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beauty & Spas,nq0WaqJXa2SUcRDeailIig,Deluxe Nails & Spa,positive,Great mani pedi services.,"['pedi', 'mani', 'mani pedi']",4, Thins for the nice pedi today Heidi!,Tommy did my pedi tonight and the massage was A+!!,My daughter got a princess pedi and mani and her nails are super cute!,"
I have lived in New York and Los Angeles and seriously have never been as happy with my mani pedis anywhere.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beauty & Spas,nq0WaqJXa2SUcRDeailIig,Deluxe Nails & Spa,positive,The massage chair enhances the experience.,"['chair', 'massage chair']",4,Friendly staff and comfortable chairs for pedicures.," Seriously, the massage chair is a part of the experience!",The massage chairs are insanely comfortable and they offer complimentary beverages when you walk in.,"The music, lighting, decor, and elegant massage chairs create instant relaxation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beauty & Spas,nq0WaqJXa2SUcRDeailIig,Deluxe Nails & Spa,positive,A great start to the evening celebration.,"['evening', 'weekend', 'day']",3,We had such a good start to our evening of celebrating.,"Treat yourself here one evening, or on a weekend afternoon.", Thank you Deluxe Nail Spa for making my day!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beauty & Spas,nq0WaqJXa2SUcRDeailIig,Deluxe Nails & Spa,positive,Best nails/spa place.,"['mani / pedi', 'nails / spa place']",3,I recently took my granddaughter and we both started our evening with getting mani/pedis together to celebrate our birthdays.,I was only expecting it to be a manicure but it ended up being a mani/pedi and they got the full treatment pedicure and 2 designs on their fingers and toes.,"My favorite nails/spa place, hands down.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beauty & Spas,nq0WaqJXa2SUcRDeailIig,Deluxe Nails & Spa,positive,Enjoyable music during nail treatments.,"['music', 'adele concert']",3, I like to read or listen to the music while I am having my nails and hands worked on.,"The music, lighting, decor, and elegant massage chairs create instant relaxation.", The big screen with the Adele Concert playing ...it was heavenly for this hard working mom on a rare Saturday night to myself.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beauty & Spas,nq0WaqJXa2SUcRDeailIig,Deluxe Nails & Spa,positive,Positive first visit experience.,"['visit', 'first visit']",3,I just visit Deluxe Nails and Spa again on 5.2.17 and I promise you it gets better each time I go.,Once you visit one time you will become a regular.,This was my first visit today and it was extremely positive.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beauty & Spas,nq0WaqJXa2SUcRDeailIig,Deluxe Nails & Spa,positive,Skilled technician and additional amenities.,"['technician', 'esthetician']",3,"
The salon is clean, the atmosphere warm and inviting and the technicians are all friendly.","Good technician and they offer hot tea and water, as well as a menu of services.","There's an onsite esthetician, waxing, facials, massage you name it!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beauty & Spas,nq0WaqJXa2SUcRDeailIig,Deluxe Nails & Spa,positive,Celebrated my birthday with a manicure.,['birthday'],2,I recently took my granddaughter and we both started our evening with getting mani/pedis together to celebrate our birthdays.,Me and my friend went on my birthday and decided we would get our fingers done too.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beauty & Spas,nq0WaqJXa2SUcRDeailIig,Deluxe Nails & Spa,positive,Generous tipping.,['tip'],2,"My first time here 2 weeks ago with a different tech, I chose to purchase a $91.00 total package and I tipped $20.00.","Tonight I chose to spend $77.00, with a $2.00 discount, and I tipped the tech $15.00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beauty & Spas,nq0WaqJXa2SUcRDeailIig,Deluxe Nails & Spa,positive,Worth the wait.,['wait'],2,Always crowded there but worth the wait obviously.,Worth the wait.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beauty & Spas,s_EQ1JQvZ32bqFfhZSgj_A,Ladue Nails & Spa,negative,Poor customer service.,"['customer service', 'service', 'experience', 'business', 'quality', 'product']",40,They need to learn to respect people's times and schedules and be much more efficient with customer service.,Poor customer service.,Horrible customer service.,Good pedicure but horrible customer service.,The customer service is trash they only seem to please their white customers and they tried to charge me 60 dollars for short nails and it wasn't even gel.,"and talking on the phone while you're getting a service, it would be more professional.",The service is spotty; sometimes you'll have an excellent tech and sometimes you'll have a grouchy tech that rushes.,Terrible service.,"I would not recommend this place to anyone, not for the price and not for the service or experience.",Don't waste your money or your time...I have been here four different times... and had the exact same service on my hands and nails...the work is so so work not consistent at all... and the price was a $25 difference...  I paid $40 the first two times ...the next $55 and now $65 what's going on in this ripoff shop?? ...,I went there today and was not pleased with my service at all.,"My pedi was ok, I've had worse but she didn't massage my legs like the service states.",It was voided but the service has not gotten back on my card yet.,I didn't receive the service that I'm used to.,I hate that the service and quality was lacking because I loved the location.,Poor service and staff who are unpleasant.,Worst service I've ever experienced from a nail salon.,"Very poor service, consistently.",I don't recommend any black people to go here because you won't get the same service as the white women," I was watching, and I didnt get half the services they did even though we paid the same amount of money.",DO NOT GET SERVICED BY VICKY T. Very disappointed.,She was very rude and short and did not acknowledge me any time during the service.,My service was rushed very sloppy.,"Certainly not going back here and if you want good service for a reasonable price, AVOID LADUE NAILS like the plague.", I went in 2 weeks ago and had such horrible service.,The services I received were great but very pricey!,The girl tried adding on services to my pedi multiple times then when I wanted to change my polish color she told me to pick out a new one and she didn't put any flip flops on me.,What a waste of time and money I cannot say enough how terrible the service was the place my look nice but I refuse to throw my money in the trash for that mess I received then I had cash in my hand as I was leaving and she reached for a tip after she snatched my card from the chair mind you.,It was horrible service and I really want to report them or share more of my corners and complaints because it was utterly the worst experience I've had in St. Louis!!!!,"I purchased one of the cheapest pedicures, $30 (I personally don't consider $30 cheap, TBH), but received $15 service.",Overall I was very disappointed with the whole experience.,Terrible experience.,This should have been a relaxing experience but it was not.,Shame on me because too many bad experiences to count.," I was rushed to pay and couldn't enjoy the experience, especially when my friend was still having hers done.",I have had plenty of great experiences here however today was not one.,Everyone was so disgruntled and rude throughout the entire experience I feel as though if you don't want to be at work then go home!!!,I've been frequenting your business for several years and I've noticed it's gone a little down hill lately.,I will not give this place my business any longer.,They are thinning their products out with super glue.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beauty & Spas,s_EQ1JQvZ32bqFfhZSgj_A,Ladue Nails & Spa,negative,Poor quality pedicures and manicures.,"['pedicure', 'ladue nail and spa', 'manicurist', 'salon', 'manicure']",40,"However the amount of pressure I received to get a nicer, more expensive pedicure than the one I had picked for myself and my daughter was intense.", and kept telling me i need pedicure to find a boyfriend.,She completed my pedicure in 11 sloppy and painful minutes.,I requested a manicure and pedicure and the technician didn't complete the pedicure., The woman who did my pedicure was lackluster.,"

Pedicure was decent but I will not be going back.",Worst pedicure ever.,"She was rude, used luke warm water during my pedicure, took longer than anyone else, my gel nails chipped and yellowed within days.","I received another crappy, RUSHED pedicure and manicure.",Just had a pedicure at Ladue Nail & Spa and it was terrible.,"Charged us $200 for 1 regular manicure, 1 gel polish manicure, French tip gel pedicure/wax paraffin, gel pedicure/wax paraffin , and eyebrow wax!",Put my shoes on and the pedicure already ruined before my trip tomorrow  not okay!,"Overall thoughts: unprofessional, dirty, felt rushed, subject to the upsell the entire time, terrible pedicure with very little massage even when I paid for that specifically, and got cuticles cut up during a fill."," I had to fix the missed areas myself at home
3) The pedicure is a JOKE."," You pay a premium for the most sub par, lackluster pedicure / and an up charge for a foot massage and it's not even worth it.","
The pedicure was a spa special and  $50 and was also mediocre.","On my pedicure, she kept cutting in to my skin, even dough I asked her not to numerous times, barely cleaned my heel from dead skin.","I purchased one of the cheapest pedicures, $30 (I personally don't consider $30 cheap, TBH), but received $15 service.","I've tried to like Ladue Nails and Spa, despite its convenient location, but after multiple visits and yesterday's disaster, I will NEVER return.",I went to Ladue Nails and Spa today and was quite disappointed.,The manicurist was rude from the moment I walked in.,When I walked in 4-5 manicurists were arguing.," The down side of this salon is the pressure to do more, add more, change what you want.",I definitely will not be visiting this salon again., I am in the salon right now...and I will not leave a tip..this woman is sooo rude.,I have exhausted my tries with this salon....never again will I give them a dime....,"

I don't recommend this salon."," I never write poor reviews, but my experience after giving this salon a number of chances has gotten increasingly worse.", Plenty of other great salons in this town to waste your money here.,My manicure was horrible..polished chipped in less than 24 hours ...I called and was told to come back once I got there the tech acted as if she was irritated., They let one of their daughters (who probably doesn't even have her cosmetology license yet) do my manicure.," She was nice, but it was one of the worst manicures I've ever had.","I left with a uneven, too short gel manicure that is already chipping (a day later).",No wonder the manicures would not last a single week!,"They don't care about the quality of the manicures they perform, they just want your money.",I have wasted my money here a handful of times and have only once enjoyed my simple manicure.,"On another visit I asked for a regular manicure and was charged over $30 for a ""deluxe"" manicure?",At 10:55 when she was not close to being done I told her I would have to come back since I had to get to another appointment and then she just rushed through the rest of the manicure., My manicure looks pretty terrible.," 
My manicure was sloppy and I had to request one nail to be redone...they redid it with hesitation and didn't want to do a top coat until I asked for it.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beauty & Spas,s_EQ1JQvZ32bqFfhZSgj_A,Ladue Nails & Spa,negative,Poor nail service and quality.,"['nail', 'acrylic nail', 'nail shop', 'nail salon', 'nail experience', 'nail color selection', 'nail tech', 'polish', 'nail polish', 'nail technician', 'nail dryer']",33,"However, I've had some chipping since then and felt like the nails weren't very thoroughly trimmed and filed.",They did not shape my nails properly - they are all different shapes.,My toenails look like I did them at home.,My daughter wanted Matte nails only to have the tech tell her no and that it looks ugly.,She asked how many nails I wanted fixed as if she couldnt see three of them had chipped polish from the cuticle area and the side.,The text claimed that my nails were extra long...she had every excuse for why I was charged $40 for a FILL IN., It has been 4 days and I have lost 2 nails and it looks like I need a fill  again already.,My nails today feel sore and the spot where she nicked my cuticle is painful.,Nails chipped in a couple days.,I asked for my nails to be filed even and square and filer BARELY touched each nail...I believe my wait was longer than my actual service.,"What a scam.... the so called ""artist"" as they called them on their  website chapped off my already short nails all the way to my finger tips, all crooked, sideways, I always had straight cut, she cut in to the skin.","
I guess once and NEVER AGAIN WILL I NEVER USE LADUE NAILS 
BAYER BEWARE!!!!!!!!!","She chopped off my nails, cut in to my skin, change the shape of my nails....... how do you want to fix this????",The facility is clean and nice decor...everyone is friendly and the have so many services to choose from..if your looking to get fake acrylic nails this might not be the place for you they are into natural gel nails and will try to push that on you., i need to find a new nail shop...,This is the worst nail shop I've ever went to.,"I'm used to adorable, clean (brand new files, buffers for each client, as well as fully sterilized tools that come in sealed packages) and trendy nail salons on every corner...often for $25 plus tip for a fab job."," Walking in to the nail salon today and anticipating it to be very fancy (I mean it is in Ladue) and being way underwhelmed (and kinda relieved), I was shocked at how this place is rundown and just kind of a bummer.","
I'm not a huge fan of nail salons in general because most technicians at these giants chains are not trained to use the tools properly and they don't sanitize things well.","My stylist name was Amy, and it was the worst nail experience I have ever had.",The cream color chairs are stained a dingy brown and the nail color selection is whack.,Even when asking for the nail tech to do something that should be expected (cutting down nails during a pedicure) I was met with a slight attitude.,"The water was freezing cold for a pedicure, the nail tech acted as if she didn't want to touch me.",Not nice nail techs.," However, staff was not friendly and believe it or not I actually got into an argument with one of the nail techs because she got upset & did not want to change my daughters nail color.","I would return to see a different nail tech who was busy when I arrived but if you cam avoid Vicky T, please do so!",I knew this was going to be a hot mess when I brought to the nail techs attention some ragged edges before she even started the gel and she was like I'll fix it at the end.,Even after the third time the polish continued to peel.,I refused polish because I had to go home and fix the bad pedicure., Nail polish all on my cuticles - NOT what I pay for., I left with nail polish on my skin and on a few cuticles.,I got shellac nails and the nail technician painted all over the cuticles and sure enough it started peeling in 2 days.,2 times during our 45 minute visit there was a fuse issue with all the nail dryers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beauty & Spas,s_EQ1JQvZ32bqFfhZSgj_A,Ladue Nails & Spa,negative,Poor quality gel manicures.,"['gel manicure', 'gel service', 'gel section', 'skin', 'cuticle', 'gel']",12,My gel manicures always peel from here.,"The first couple times I received a gel manicure, the manicures did not even last one week.","Nail salons are not supposed to mix and match other brands products like this because they will not work properly, resulting in a gel manicure that does not last.",$35 is way too expensive for a gel manicure that doesn't even last one week.,I was on the drive home from my most recent gel service and noticed rough edges vulnerable to peeling... This was less than 20 minutes from leaving the salon.,  I was looking for a certain color of nail polish and kept being ushered to the more expensive gel section.,Not okay or safe for the skin.,My nails today feel sore and the spot where she nicked my cuticle is painful.,"Overall thoughts: unprofessional, dirty, felt rushed, subject to the upsell the entire time, terrible pedicure with very little massage even when I paid for that specifically, and got cuticles cut up during a fill.",I pointed out to her that she was painting over cuticles and she tried fixing with a cuticle cutter but it was no use.,"Cuticles cut terrible, see pictures.",My cuticles look a mess and the gel around them is uneven.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beauty & Spas,s_EQ1JQvZ32bqFfhZSgj_A,Ladue Nails & Spa,negative,Inadequate and rushed massage services.,"['massage', 'hand massage', 'foot massage']",10, I rarely get more than 30 seconds of massage on feet or hands.,She failed to massage  my feet which is part of the procedure.,"She stated that she will go back and do the massage, and she never did it.","Total 15 minutes; hardly pumiced my feet and a very weak-handed massage, less than 30 seconds per leg.",No usual massage with the manicure or pedicure just a quick rub and rinse.,"Overall thoughts: unprofessional, dirty, felt rushed, subject to the upsell the entire time, terrible pedicure with very little massage even when I paid for that specifically, and got cuticles cut up during a fill.","This place was great for a pedicure, but my god, DO NOT EVER GET A MASSAGE HERE.","I would certainly go back for a pedi or a mani, but never going back for a massage.","There was only a little left, so I didn't even get a real hand massage."," You pay a premium for the most sub par, lackluster pedicure / and an up charge for a foot massage and it's not even worth it.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beauty & Spas,s_EQ1JQvZ32bqFfhZSgj_A,Ladue Nails & Spa,negative,Terrible experience at this place.,['place'],8,This place is TERRIBLE.,I haven't had a good experience with this place yet.,I am livid with this place.,This place is a joke!!, This is NOT the place to go for that., I am extremely disappointed in this place.,I've been here before and I knew this place was awful.,Such a terrible place.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beauty & Spas,s_EQ1JQvZ32bqFfhZSgj_A,Ladue Nails & Spa,negative,Unfriendly and inhospitable staff.,"['staff', 'worker', 'employee']",8,If the staff spent more time on YOU and less time watching t.v.," However, staff was not friendly and believe it or not I actually got into an argument with one of the nail techs because she got upset & did not want to change my daughters nail color.",Poor service and staff who are unpleasant.,"Despite the staff at Ladue Nails being very rude, I thought I found my new nail shop because of how clean it is and because the location is close to my office in Clayton, which enabled me to come in on my lunch hour and get gel manicures.","Yesterday I was at the ladue road location and during my pedi, a worker came and sat next to my chair, talking with my service provider, eating a bag of crunchy loud Doritos and watching tv, all while I'm trying to relax and enjoy, I was disgusted by the smell and situation."," The workers all look MISERABLE there, and almost scared of the boss...She's the stone cold ice queen you probably have seen walking around."," This place gets a big thumbs down for many reasons, but mostly for the employees' lack of hospitality."," With so many employees, you would expect to see at least one smile, but don't get your hopes up.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beauty & Spas,s_EQ1JQvZ32bqFfhZSgj_A,Ladue Nails & Spa,negative,Misleading and inflated prices.,['price'],7, i also noticed they jacked up the prices about $10.,The lack of mani/pedi places AND the prices.,"I would not recommend this place to anyone, not for the price and not for the service or experience.",They have very misleading prices listed online as well as in the salon.,When we went to pay our prices were different and the lady was so rude when I questioned her about the price.,"It is a bit pricey for my liking so I will only go here for a special occasion as opposed to a regular appointment, but overall I was very pleased!","Cons: high prices, very pushy up-selling,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beauty & Spas,s_EQ1JQvZ32bqFfhZSgj_A,Ladue Nails & Spa,negative,Poor communication skills.,"['communication', 'information', 'situation', 'location']",5,While they usually do a nice job of my nails their COMMUNICATION skills are the absolute worse!,They often ignore you after signing in on arrival not giving you any information about how long the wait will be -- I waited 15 mins today before somebody finally came up front so I could ask.,"Yesterday I was at the ladue road location and during my pedi, a worker came and sat next to my chair, talking with my service provider, eating a bag of crunchy loud Doritos and watching tv, all while I'm trying to relax and enjoy, I was disgusted by the smell and situation.",I will not be going back to the Ladue Road location., She was very unprofessional and I refuse to ever visit this location again!!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
